YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM,CONF_A,K TEMPO_A,K TEMPO RANK_A,KADJ T_A,KADJ T RANK_A,K OFF_A,KO RANK_A,KADJ O_A,KADJ O RANK_A,K DEF_A,KD RANK_A,KADJ D_A,KADJ D RANK_A,KADJ EM_A,KADJ EM RANK_A,BADJ EM_A,BADJ O_A,BADJ D_A,BARTHAG_A,GAMES_A,W_A,L_A,WIN%_A,EFG%_A,EFG%D_A,FTR_A,FTRD_A,TOV%_A,TOV%D_A,OREB%_A,DREB%_A,OP OREB%_A,OP DREB%_A,RAW T_A,2PT%_A,2PT%D_A,3PT%_A,3PT%D_A,BLK%_A,BLKED%_A,AST%_A,OP AST%_A,2PTR_A,3PTR_A,2PTRD_A,3PTRD_A,BADJ T_A,AVG HGT_A,EFF HGT_A,EXP_A,TALENT_A,FT%_A,OP FT%_A,PPPO_A,PPPD_A,ELITE SOS_A,WAB_A,BADJ EM RANK_A,BADJ O RANK_A,BADJ D RANK_A,BARTHAG RANK_A,EFG% RANK_A,EFGD% RANK_A,FTR RANK_A,FTRD RANK_A,TOV% RANK_A,TOV%D RANK_A,OREB% RANK_A,DREB% RANK_A,OP OREB% RANK_A,OP DREB% RANK_A,RAW T RANK_A,2PT% RANK_A,2PT%D RANK_A,3PT% RANK_A,3PT%D RANK_A,BLK% RANK_A,BLKED% RANK_A,AST% RANK_A,OP AST% RANK_A,2PTR RANK_A,3PTR RANK_A,2PTRD RANK_A,3PTRD RANK_A,BADJT RANK_A,AVG HGT RANK_A,EFF HGT RANK_A,EXP RANK_A,TALENT RANK_A,FT% RANK_A,OP FT% RANK_A,PPPO RANK_A,PPPD RANK_A,ELITE SOS RANK_A,CONF REG BADJ EM_A,CONF REG BADJ O_A,CONF REG BADJ D_A,CONF REG BARTHAG_A,CONF REG G_A,CONF REG W_A,CONF REG L_A,CONF REG WIN%_A,CONF REG EFG%_A,CONF REG EFGD%_A,CONF REG FTR_A,CONF REG FTRD_A,CONF REG TOV%_A,CONF REG TOV%D_A,CONF REG OREB%_A,CONF REG DREB%_A,CONF REG OP OREB%_A,CONF REG OP DREB%_A,CONF REG RAW T_A,CONF REG 2PT%_A,CONF REG 2PT%D_A,CONF REG 3PT%_A,CONF REG 3PT%D_A,CONF REG BLK%_A,CONF REG BLKED%_A,CONF REG AST%_A,CONF REG OP AST %_A,CONF REG 2PTR_A,CONF REG 3PTR_A,CONF REG 2PTRD_A,CONF REG 3PTRD_A,CONF REG BADJ T_A,CONF REG AVG HGT_A,CONF REG EFF HGT_A,CONF REG EXP_A,CONF REG TALENT_A,CONF REG FT%_A,CONF REG OP FT%_A,CONF REG PPPO_A,CONF REG PPPD_A,CONF REG ELITE SOS_A,CONF REG WAB_A,CONF_B,K TEMPO_B,K TEMPO RANK_B,KADJ T_B,KADJ T RANK_B,K OFF_B,KO RANK_B,KADJ O_B,KADJ O RANK_B,K DEF_B,KD RANK_B,KADJ D_B,KADJ D RANK_B,KADJ EM_B,KADJ EM RANK_B,BADJ EM_B,BADJ O_B,BADJ D_B,BARTHAG_B,GAMES_B,W_B,L_B,WIN%_B,EFG%_B,EFG%D_B,FTR_B,FTRD_B,TOV%_B,TOV%D_B,OREB%_B,DREB%_B,OP OREB%_B,OP DREB%_B,RAW T_B,2PT%_B,2PT%D_B,3PT%_B,3PT%D_B,BLK%_B,BLKED%_B,AST%_B,OP AST%_B,2PTR_B,3PTR_B,2PTRD_B,3PTRD_B,BADJ T_B,AVG HGT_B,EFF HGT_B,EXP_B,TALENT_B,FT%_B,OP FT%_B,PPPO_B,PPPD_B,ELITE SOS_B,WAB_B,BADJ EM RANK_B,BADJ O RANK_B,BADJ D RANK_B,BARTHAG RANK_B,EFG% RANK_B,EFGD% RANK_B,FTR RANK_B,FTRD RANK_B,TOV% RANK_B,TOV%D RANK_B,OREB% RANK_B,DREB% RANK_B,OP OREB% RANK_B,OP DREB% RANK_B,RAW T RANK_B,2PT% RANK_B,2PT%D RANK_B,3PT% RANK_B,3PT%D RANK_B,BLK% RANK_B,BLKED% RANK_B,AST% RANK_B,OP AST% RANK_B,2PTR RANK_B,3PTR RANK_B,2PTRD RANK_B,3PTRD RANK_B,BADJT RANK_B,AVG HGT RANK_B,EFF HGT RANK_B,EXP RANK_B,TALENT RANK_B,FT% RANK_B,OP FT% RANK_B,PPPO RANK_B,PPPD RANK_B,ELITE SOS RANK_B,CONF REG BADJ EM_B,CONF REG BADJ O_B,CONF REG BADJ D_B,CONF REG BARTHAG_B,CONF REG G_B,CONF REG W_B,CONF REG L_B,CONF REG WIN%_B,CONF REG EFG%_B,CONF REG EFGD%_B,CONF REG FTR_B,CONF REG FTRD_B,CONF REG TOV%_B,CONF REG TOV%D_B,CONF REG OREB%_B,CONF REG DREB%_B,CONF REG OP OREB%_B,CONF REG OP DREB%_B,CONF REG RAW T_B,CONF REG 2PT%_B,CONF REG 2PT%D_B,CONF REG 3PT%_B,CONF REG 3PT%D_B,CONF REG BLK%_B,CONF REG BLKED%_B,CONF REG AST%_B,CONF REG OP AST %_B,CONF REG 2PTR_B,CONF REG 3PTR_B,CONF REG 2PTRD_B,CONF REG 3PTRD_B,CONF REG BADJ T_B,CONF REG AVG HGT_B,CONF REG EFF HGT_B,CONF REG EXP_B,CONF REG TALENT_B,CONF REG FT%_B,CONF REG OP FT%_B,CONF REG PPPO_B,CONF REG PPPD_B,CONF REG ELITE SOS_B,CONF REG WAB_B,
2024,32,Connecticut,1,,,Northwestern,9,,,,BE,66.2316,299,64.4543,329,122.708,1,126.608,1,97.6459,27,94.3949,11,32.213,1,33.493,127.046,93.553,0.971,34,31,3,91.17647059,57.1,45.1,33.3,32.5,14.9,16.2,36.5,73.2,26.8,63.5,66.2,58.5,43.7,36.7,31.9,14.2,8.3,63.7,46,59.1,40.9,66.8,33.2,64.586,78.369,81.572,1.709,58.255,74.2,72.2,1.23,0.973,33.643,11.3,2,1,11,2,6,5,161,175,53,240,15,88,88,15,300,6,7,30,67,15,104,6,60,276,89,315,50,325,24,28,283,35,91,201,1,22,19,14.8,113.6,98.8,0.833,360,203,157,56.38888889,51.9,49.7,29.8,27.8,16.4,16.5,30.1,71.5,28.5,69.9,68.1,51.9,49,34.6,33.9,10.4,10,55,52.6,60.8,39.2,62.5,37.5,68.3,77.722,80.772,2.102,50.583,74.8,73.7,1.09,1.042,33.917,-0.46,B10,64.6113,346,63.7214,342,112.16,49,116.657,30,104.781,179,100.752,72,15.9057,46,17.988,117.194,99.206,0.872,32,21,11,65.625,53.2,51.6,29.9,39.4,13.3,18.8,25.7,71.8,28.2,74.3,64.6,49.7,50.3,39.4,35.9,9.9,10.3,59.6,58.7,63.2,36.8,63.1,36.9,63.684,77.579,80.627,2.306,35.529,74.8,72,1.122,1.051,30.87,1.5,29,25,64,31,64,249,264,317,7,70,287,140,140,287,349,211,177,7,315,140,270,20,341,172,196,192,176,343,104,110,89,84,75,188,46,186,40,15.9,114.3,98.4,0.849,460,270,190,58.69565217,51.6,49.3,34.8,31.5,15.9,16.8,30.3,71.2,28.8,69.7,68.3,51.3,48.3,34.8,33.9,9.8,8.9,54.3,51.6,64.4,35.6,64.8,35.2,68.3,77.912,81.161,1.982,57.333,72.6,72.6,1.096,1.036,32.658,0.01,
2024,32,San Diego St.,5,,,Auburn,4,,,,MWC,67.0337,266,65.9846,266,108.712,109,113.548,62,98.4268,31,93.8492,9,19.6993,21,17.67,111.536,93.866,0.879,32,22,10,68.75,49.8,47.2,37.5,33.3,16,18,32.7,72,28,67.3,67,51.6,48.3,31.3,30.5,11.9,8.9,50.8,48.6,62.2,37.8,59.5,40.5,66.101,77.576,80.787,2.508,43.201,72.9,70.1,1.086,0.986,30.359,2.6,31,69,14,29,227,33,66,202,107,116,70,132,132,70,268,127,87,307,22,50,158,166,131,197,168,78,286,262,107,92,31,68,137,79,111,33,46,8.9,110.5,101.6,0.724,344,197,147,57.26744186,52.1,50.5,34.5,32.5,16.3,17.1,28.2,71.7,28.3,71.8,67,52.7,51,34,33,9.9,9.3,53.3,51.6,62.7,37.3,62.4,37.6,67.6,77.427,80.341,2.141,26.222,72.2,72.2,1.082,1.048,24.53,-3.3,SEC,70.9629,54,69.7887,58,117.364,14,120.579,10,95.7924,7,91.6765,4,28.9026,4,28.605,120.655,92.05,0.957,34,27,7,79.41176471,54.1,43.4,38.2,41,14.9,18.2,32.9,69.7,30.3,67.1,71,54.9,42.8,35.2,29.8,16,8.6,62,42.8,62.5,37.5,66.7,33.3,69.847,77.688,80.951,2.195,43.053,75.2,73.6,1.174,0.959,28.032,5.5,4,10,6,5,43,1,51,332,53,103,63,238,238,63,54,29,1,113,9,3,124,11,25,186,180,312,52,58,86,76,127,69,59,284,12,8,69,14.6,114.3,99.7,0.828,460,273,187,59.34782609,51.3,49.1,36.4,34.7,15.9,16.8,32.1,69.7,30.3,67.9,70.2,51.7,48.9,33.8,32.9,11.9,10.2,51.6,49.9,61.4,38.6,62.1,37.9,69.5,77.634,81.16,2.079,49.572,73.4,73.1,1.107,1.049,30.667,-0.5,
2024,32,BYU,6,,,Illinois,3,,,,B12,70.0246,90,69.0581,85,116.926,16,120.486,11,99.9495,53,99.4765,48,21.0091,16,21.656,120.635,98.979,0.907,33,23,10,69.6969697,55.1,48,25.3,32.1,15.2,16,32.8,75.3,24.7,67.2,70,58,48.2,34.8,31.8,7.7,7.1,63.2,47.2,49.3,50.7,65.9,34.1,68.967,78.499,81.22,2.232,19.483,73.8,69.8,1.169,0.998,30.879,2.9,17,11,59,18,23,61,348,165,65,255,67,26,26,67,94,8,83,137,60,264,31,8,94,361,2,294,72,90,18,54,116,133,103,62,16,52,39,17.7,113.9,96.2,0.875,457,284,173,62.14442013,51.8,48.5,33.9,32.1,17.3,18.5,31.9,71.8,28.2,68.1,68.3,51.8,48.3,34.6,32.6,10.4,9.1,55.7,52.2,62.4,37.6,62.6,37.4,68.4,77.588,80.916,2.096,48.607,72.4,71.7,1.09,0.998,33.401,1.2,B10,70.5498,66,69.8886,56,118.858,6,125.551,3,104.051,151,101.564,93,23.9871,10,24.236,125.323,101.087,0.922,34,26,8,76.47058824,53.8,48,37.8,27.1,15.1,12.3,36.2,73.9,26.1,63.8,70.5,54.7,46.6,34.9,34.3,8.2,8.3,44.4,42.6,61.7,38.3,72.1,27.9,69.854,78.785,80.635,2.444,56.834,74.5,71.7,1.188,1.039,32.635,6,9,3,97,12,48,61,59,41,62,360,17,62,62,17,70,34,38,128,223,229,104,316,23,213,153,356,7,56,8,109,48,38,80,168,6,147,27,15.9,114.3,98.4,0.849,460,270,190,58.69565217,51.6,49.3,34.8,31.5,15.9,16.8,30.3,71.2,28.8,69.7,68.3,51.3,48.3,34.8,33.9,9.8,8.9,54.3,51.6,64.4,35.6,64.8,35.2,68.3,77.912,81.161,1.982,57.333,72.6,72.6,1.096,1.036,32.658,0.01,
2024,32,Washington St.,7,,,Iowa St.,2,,,,P12,66.6789,275,64.8206,316,110.65,71,113.431,64,99.4722,40,97.215,27,16.2158,42,16.17,112.793,96.623,0.856,33,24,9,72.72727273,52.1,47.3,31.7,32.7,16.1,15.9,32.9,75.1,24.9,67.1,66.7,52.6,46.9,34,32,12.2,6.6,45.7,44.3,68,32,68.5,31.5,64.889,79.296,81.69,1.724,30.424,70.1,73.5,1.106,0.996,25.215,1.9,42,58,28,39,99,37,217,187,112,264,63,29,29,63,277,93,47,178,71,44,17,286,39,62,303,335,29,314,2,24,270,95,268,280,71,47,82,12,111.5,99.5,0.787,391,215,176,54.98721228,51.8,50.1,32.6,30.8,16.6,16.7,28.7,72.6,27.4,71.3,69.4,51.5,49.6,34.8,34,9.6,8.4,52.6,50.6,64.1,35.9,63,37,69,78.223,81.517,1.943,54.262,71.4,71,1.073,1.036,28.096,-2.7,B12,68.1713,199,67.3399,179,110.446,74,113.864,55,89.9131,2,87.1458,1,26.7178,5,27.105,113.65,86.545,0.958,34,27,7,79.41176471,51.9,47.1,36.1,35.2,15.7,25.7,31.6,70.6,29.4,68.4,68.2,51.7,46.9,34.9,31.5,10.8,8.7,58,58.9,68,32,55,45,67.569,77.594,80.572,1.824,44.201,69.7,71.2,1.108,0.899,33.017,6.9,6,51,2,4,113,29,93,250,90,2,95,203,203,95,202,123,47,128,52,91,139,38,343,62,303,10,354,170,102,119,242,63,281,138,64,2,24,17.7,113.9,96.2,0.875,457,284,173,62.14442013,51.8,48.5,33.9,32.1,17.3,18.5,31.9,71.8,28.2,68.1,68.3,51.8,48.3,34.6,32.6,10.4,9.1,55.7,52.2,62.4,37.6,62.6,37.4,68.4,77.588,80.916,2.096,48.607,72.4,71.7,1.09,0.998,33.401,1.2,
2024,32,North Carolina,1,,,Michigan St.,9,,,,ACC,71.4602,41,70.4477,41,113.459,31,117.796,24,97.8323,28,93.151,6,24.6454,9,23.59,116.784,93.194,0.931,34,27,7,79.41176471,51.3,46.4,36.8,28.3,14.4,14.9,32.8,76.5,23.5,67.2,71.4,50.3,46,35.4,31.4,10.2,9.6,51.5,40.6,64.1,35.9,63.9,36.1,70.367,77.172,81.126,2.174,88.407,75.4,74.4,1.136,0.98,30.665,6.6,12,26,8,9,145,18,80,74,33,310,67,10,10,67,46,176,25,101,47,125,217,149,7,147,219,237,130,46,164,64,133,2,55,318,30,29,43,12,111.7,99.7,0.787,492,282,210,57.31707317,51.5,49.9,31.4,29.8,15.7,16.7,28.5,72.6,27.4,71.5,68.4,51.1,49.8,34.7,33.4,10.1,9,50.7,49.5,62.5,37.5,62.1,37.9,68.4,77.897,81.078,1.653,62.324,73.8,73.1,1.083,1.037,27.996,-2,B10,66.3965,288,65.1889,305,109.535,93,113.76,57,99.3536,36,93.7263,8,20.0339,18,19.451,112.729,93.278,0.898,33,19,14,57.57575758,51.5,48,29.9,32.6,14.7,18.7,29.9,71.3,28.7,70.1,66.4,50.5,47.1,35.9,32.8,12,7.7,60,54.9,69.8,30.2,58.7,41.3,65.272,77.257,80.882,2.07,67.335,70.6,71.4,1.097,0.989,34.196,0.21,25,60,9,23,140,61,264,182,44,73,140,168,168,140,293,169,50,69,117,48,63,17,288,37,327,56,307,303,154,86,164,14,254,148,93,35,13,15.9,114.3,98.4,0.849,460,270,190,58.69565217,51.6,49.3,34.8,31.5,15.9,16.8,30.3,71.2,28.8,69.7,68.3,51.3,48.3,34.8,33.9,9.8,8.9,54.3,51.6,64.4,35.6,64.8,35.2,68.3,77.912,81.161,1.982,57.333,72.6,72.6,1.096,1.036,32.658,0.01,
2024,32,Saint Mary's,5,,,Alabama,4,,,,WCC,63.3514,355,61.9463,358,114.915,21,114.901,45,93.5732,3,95.0132,16,19.888,20,22.139,115.794,93.655,0.92,32,25,7,78.125,53.1,45.1,28.3,32.2,16,16.7,39,77.6,22.4,61,63.3,53,43.6,35.5,32.4,10.1,7.4,58.3,47.7,63.3,36.7,71,29,62.072,78.507,81.259,1.929,38.712,67.4,71.1,1.147,0.935,19.572,1.4,16,30,13,13,67,5,305,168,107,197,3,2,2,3,355,76,5,95,89,132,46,35,103,166,200,355,8,358,16,51,204,75,323,134,21,3,102,2.1,107.1,105,0.557,280,142,138,50.71428571,51.8,51.1,30.7,32,16.7,16,29.2,72.7,27.3,70.8,68.3,51.6,50.4,34.8,34.8,8.1,7.7,53.1,52.2,62.9,37.1,63.4,36.6,68.4,77.755,80.992,1.865,27.646,70.8,71.4,1.07,1.059,19.342,-7.4,,SEC,74.1625,7,72.6461,9,121.712,2,125.601,2,108.031,254,103.118,112,22.4828,13,23.114,125.159,102.045,0.913,32,21,11,65.625,56.3,49.9,35.2,39.6,16,15.6,34.9,70.1,29.9,65.1,74.2,57.6,51.1,36.5,31.9,10.2,12.5,51.5,45.1,53.2,46.8,63.3,36.7,72.507,78.211,82.48,2.094,27.836,78.4,74.3,1.213,1.084,36.254,3.4,13,4,119,15,11,149,115,319,107,279,27,220,220,27,7,10,217,41,67,125,349,149,46,345,19,209,164,13,33,8,156,106,10,314,2,263,7,14.6,114.3,99.7,0.828,460,273,187,59.34782609,51.3,49.1,36.4,34.7,15.9,16.8,32.1,69.7,30.3,67.9,70.2,51.7,48.9,33.8,32.9,11.9,10.2,51.6,49.9,61.4,38.6,62.1,37.9,69.5,77.634,81.16,2.079,49.572,73.4,73.1,1.107,1.049,30.667,-0.5
