YEAR,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2024,Connecticut,1,1,64,91
2024,Stetson,16,64,64,52
2024,North Carolina,1,16,64,90
2024,Wagner,16,64,64,62
2024,Houston,1,16,64,86
2024,Longwood,16,64,64,46
2024,Purdue,1,2,64,78
2024,Grambling St.,16,64,64,50
2024,Iowa St.,2,16,64,82
2024,South Dakota St.,15,64,64,65
2024,Arizona,2,16,64,85
2024,Long Beach St.,15,64,64,65
2024,Marquette,2,16,64,87
2024,Western Kentucky,15,64,64,69
2024,Tennessee,2,8,64,83
2024,Saint Peter's,15,64,64,49
2024,Illinois,3,8,64,85
2024,Morehead St.,14,64,64,69
2024,Baylor,3,32,64,92
2024,Colgate,14,64,64,67
2024,Kentucky,3,64,64,76
2024,Oakland,14,32,64,80
2024,Creighton,3,16,64,77
2024,Akron,14,64,64,60
2024,Auburn,4,64,64,76
2024,Yale,13,32,64,78
2024,Alabama,4,4,64,109
2024,College of Charleston,13,64,64,96
2024,Duke,4,8,64,64
2024,Vermont,13,64,64,47
2024,Kansas,4,32,64,93
2024,Samford,13,64,64,89
2024,San Diego St.,5,16,64,69
2024,UAB,12,64,64,65
2024,Saint Mary's,5,64,64,66
2024,Grand Canyon,12,32,64,75
2024,Wisconsin,5,64,64,61
2024,James Madison,12,32,64,72
2024,Gonzaga,5,16,64,86
2024,McNeese St.,12,64,64,65
2024,BYU,6,64,64,67
2024,Duquesne,11,32,64,71
2024,Clemson,6,8,64,77
2024,New Mexico,11,64,64,56
2024,Texas Tech,6,64,64,67
2024,North Carolina St.,11,4,64,80
2024,South Carolina,6,64,64,73
2024,Oregon,11,32,64,87
2024,Washington St.,7,32,64,66
2024,Drake,10,64,64,61
2024,Dayton,7,32,64,63
2024,Nevada,10,64,64,60
2024,Florida,7,64,64,100
2024,Colorado,10,32,64,102
2024,Texas,7,32,64,56
2024,Colorado St.,10,64,64,44
2024,Florida Atlantic,8,64,64,65
2024,Northwestern,9,32,64,77
2024,Mississippi St.,8,64,64,51
2024,Michigan St.,9,32,64,69
2024,Nebraska,8,64,64,83
2024,Texas A&M,9,32,64,98
2024,Utah St.,8,32,64,88
2024,TCU,9,64,64,72
2024,Connecticut,1,1,32,75
2024,Northwestern,9,32,32,58
2024,North Carolina,1,16,32,85
2024,Mississippi St.,8,32,32,69
2024,Houston,1,16,32,100
2024,Texas A&M,9,32,32,95
2024,Purdue,1,2,32,106
2024,Utah St.,8,32,32,67
2024,Iowa St.,2,16,32,67
2024,Washington St.,7,32,32,56
2024,Arizona,2,16,32,78
2024,Dayton,7,32,32,68
2024,Marquette,2,16,32,81
2024,Colorado,10,32,32,77
2024,Tennessee,2,8,32,62
2024,Texas,7,32,32,58
2024,Illinois,3,8,32,89
2024,Duquesne,11,32,32,63
2024,Baylor,3,32,32,64
2024,Clemson,6,8,32,72
2024,North Carolina St.,11,4,32,79
2024,Oakland,14,32,32,73
2024,Creighton,3,16,32,86
2024,Oregon,6,32,32,73
2024,Yale,13,32,32,57
2024,San Diego St.,5,16,32,85
2024,Alabama,4,4,32,72
2024,Grand Canyon,12,32,32,61
2024,Duke,4,8,32,93
2024,James Madison,12,32,32,55
2024,Kansas,4,32,32,68
2024,Gonzaga,5,16,32,89
2024,Connecticut,1,1,16,82
2024,San Diego St.,5,16,16,52
2024,North Carolina,1,16,16,87
2024,Alabama,4,4,16,89
2024,Houston,1,16,16,51
2024,Duke,4,8,16,54
2024,Purdue,1,2,16,80
2024,Gonzaga,5,16,16,68
2024,Illinois,3,8,16,72
2024,Iowa St.,2,16,16,69
2024,Clemson,6,8,16,77
2024,Arizona,2,16,16,72
2024,North Carolina St.,11,4,16,67
2024,Marquette,2,16,16,58
2024,Creighton,3,16,16,75
2024,Tennessee,2,8,16,82
2024,Connecticut,1,1,8,77
2024,Illinois,3,8,8,52
2024,Alabama,4,4,8,89
2024,Clemson,6,8,8,82
2024,Duke,4,8,8,64
2024,North Carolina St.,11,4,8,76
2024,Purdue,1,2,8,72
2024,Tennessee,2,8,8,66
2024,Connecticut,1,1,4,86
2024,Alabama,4,4,4,72
2024,North Carolina St.,11,4,4,50
2024,Purdue,1,2,4,63
2024,Connecticut,1,1,2,75
2024,Purdue,1,2,2,60
2023,Alabama,1,16,64,96
2023,Texas A&M Corpus Chris,16,64,64,75
2023,Maryland,8,32,64,67
2023,West Virginia,9,64,64,65
2023,San Diego St.,5,2,64,63
2023,College of Charleston,12,64,64,57
2023,Virginia,4,64,64,67
2023,Furman,13,32,64,68
2023,Creighton,6,8,64,72
2023,North Carolina St.,11,64,64,63
2023,Baylor,3,32,64,74
2023,UC Santa Barbara,14,64,64,56
2023,Missouri,7,32,64,76
2023,Utah St.,10,64,64,65
2023,Arizona,2,64,64,55
2023,Princeton,15,16,64,59
2023,Purdue,1,64,64,58
2023,Fairleigh Dickinson,16,32,64,63
2023,Memphis,8,64,64,65
2023,Florida Atlantic,9,4,64,66
2023,Duke,5,32,64,74
2023,Oral Roberts,12,64,64,51
2023,Tennessee,4,16,64,58
2023,Louisiana Lafayette,13,64,64,55
2023,Kentucky,6,32,64,61
2023,Providence,11,64,64,53
2023,Kansas St.,3,8,64,77
2023,Montana St.,14,64,64,65
2023,Michigan St.,7,16,64,72
2023,USC,10,64,64,62
2023,Marquette,2,32,64,78
2023,Vermont,15,64,64,61
2023,Houston,1,16,64,63
2023,Northern Kentucky,16,64,64,52
2023,Iowa,8,64,64,75
2023,Auburn,9,32,64,83
2023,Miami FL,5,4,64,63
2023,Drake,12,64,64,56
2023,Indiana,4,32,64,71
2023,Kent St.,13,64,64,60
2023,Iowa St.,6,64,64,41
2023,Pittsburgh,11,32,64,59
2023,Xavier,3,16,64,72
2023,Kennesaw St.,14,64,64,67
2023,Texas A&M,7,64,64,59
2023,Penn St.,10,32,64,76
2023,Texas ,2,8,64,81
2023,Colgate,15,64,64,61
2023,Kansas,1,32,64,96
2023,Howard,16,64,64,68
2023,Arkansas,8,16,64,73
2023,Illinois,9,64,64,63
2023,Saint Mary's,5,32,64,63
2023,VCU,12,64,64,51
2023,Connecticut,4,1,64,87
2023,Iona,13,64,64,63
2023,TCU,6,32,64,72
2023,Arizona St.,11,64,64,70
2023,Gonzaga,3,8,64,82
2023,Grand Canyon,14,64,64,70
2023,Northwestern,7,32,64,75
2023,Boise St.,10,64,64,67
2023,UCLA,2,16,64,86
2023,UNC Asheville,15,64,64,53
2023,Alabama,1,16,32,73
2023,Maryland,8,32,32,51
2023,San Diego St.,5,2,32,75
2023,Furman,13,32,32,52
2023,Creighton,6,8,32,85
2023,Baylor,3,32,32,76
2023,Missouri,7,32,32,63
2023,Princeton,15,16,32,78
2023,Fairleigh Dickinson,16,32,32,70
2023,Florida Atlantic,9,4,32,78
2023,Duke,5,32,32,52
2023,Tennessee,4,16,32,65
2023,Kentucky,6,32,32,69
2023,Kansas St.,3,8,32,75
2023,Michigan St.,7,16,32,69
2023,Marquette,2,32,32,60
2023,Houston,1,16,32,81
2023,Auburn,9,32,32,64
2023,Miami FL,5,4,32,85
2023,Indiana,4,32,32,69
2023,Pittsburgh,11,32,32,73
2023,Xavier,3,16,32,84
2023,Penn St.,10,32,32,66
2023,Texas ,2,8,32,71
2023,Kansas,1,32,32,71
2023,Arkansas,8,16,32,72
2023,Saint Mary's,5,32,32,55
2023,Connecticut,4,1,32,70
2023,TCU,6,32,32,81
2023,Gonzaga,3,8,32,84
2023,Northwestern,7,32,32,63
2023,UCLA,2,16,32,68
2023,Alabama,1,16,16,64
2023,San Diego St.,5,2,16,71
2023,Creighton,6,8,16,86
2023,Princeton,15,16,16,75
2023,Florida Atlantic,9,4,16,62
2023,Tennessee,4,16,16,55
2023,Kansas St.,3,8,16,98
2023,Michigan St.,7,16,16,93
2023,Houston,1,16,16,75
2023,Miami FL,5,4,16,89
2023,Xavier,3,16,16,71
2023,Texas ,2,8,16,83
2023,Arkansas,8,16,16,65
2023,Connecticut,4,1,16,88
2023,Gonzaga,3,8,16,79
2023,UCLA,2,16,16,76
2023,San Diego St.,5,2,8,57
2023,Creighton,6,8,8,56
2023,Florida Atlantic,9,4,8,79
2023,Kansas St.,3,8,8,76
2023,Miami FL,5,4,8,88
2023,Texas ,2,8,8,81
2023,Connecticut,4,1,8,82
2023,Gonzaga,3,8,8,54
2023,San Diego St.,5,2,4,72
2023,Florida Atlantic,9,4,4,71
2023,Miami FL,5,4,4,59
2023,Connecticut,4,1,4,72
2023,San Diego St.,5,2,2,59
2023,Connecticut,4,1,2,76
2022,Gonzaga,1,16,64,93
2022,Georgia St.,16,64,64,72
2022,Boise St.,8,64,64,53
2022,Memphis,9,32,64,64
2022,Connecticut,5,64,64,63
2022,New Mexico St.,12,32,64,70
2022,Arkansas,4,8,64,75
2022,Vermont,13,64,64,71
2022,Alabama,6,64,64,64
2022,Notre Dame,11,32,64,78
2022,Texas Tech,3,16,64,97
2022,Montana St.,14,64,64,62
2022,Michigan St.,7,32,64,74
2022,Davidson,10,64,64,73
2022,Duke,2,4,64,78
2022,Cal St. Fullerton,15,64,64,61
2022,Baylor,1,32,64,85
2022,Norfolk St.,16,64,64,49
2022,North Carolina,8,2,64,95
2022,Marquette,9,64,64,63
2022,Saint Mary's,5,32,64,82
2022,Indiana,12,64,64,53
2022,UCLA,4,16,64,57
2022,Akron,13,64,64,53
2022,Texas,6,32,64,81
2022,Virginia Tech,11,64,64,73
2022,Purdue,3,16,64,78
2022,Yale,14,64,64,56
2022,Murray St.,7,32,64,92
2022,San Francisco,10,64,64,87
2022,Kentucky,2,64,64,79
2022,Saint Peter's,15,8,64,85
2022,Arizona,1,16,64,87
2022,Wright St.,16,64,64,70
2022,Seton Hall,8,64,64,42
2022,TCU,9,32,64,69
2022,Houston,5,8,64,82
2022,UAB,12,64,64,68
2022,Illinois,4,32,64,54
2022,Chattanooga,13,64,64,53
2022,Colorado St.,6,64,64,63
2022,Michigan,11,16,64,75
2022,Tennessee,3,32,64,88
2022,Longwood,14,64,64,56
2022,Ohio St.,7,32,64,54
2022,Loyola Chicago,10,64,64,41
2022,Villanova,2,4,64,80
2022,Delaware,15,64,64,60
2022,Kansas,1,1,64,83
2022,Texas Southern,16,64,64,56
2022,San Diego St.,8,64,64,69
2022,Creighton,9,32,64,72
2022,Iowa,5,64,64,63
2022,Richmond,12,32,64,67
2022,Providence,4,16,64,66
2022,South Dakota St.,13,64,64,57
2022,LSU,6,64,64,54
2022,Iowa St.,11,16,64,59
2022,Wisconsin,3,32,64,67
2022,Colgate,14,64,64,60
2022,USC,7,64,64,66
2022,Miami FL,10,8,64,68
2022,Auburn,2,32,64,80
2022,Jacksonville St.,15,64,64,61
2022,Gonzaga,1,16,32,82
2022,Memphis,9,32,32,78
2022,New Mexico St.,12,32,32,48
2022,Arkansas,4,8,32,53
2022,Notre Dame,11,32,32,53
2022,Texas Tech,3,16,32,59
2022,Michigan St.,7,32,32,76
2022,Duke,2,4,32,85
2022,Baylor,1,32,32,86
2022,North Carolina,8,2,32,93
2022,Saint Mary's,5,32,32,56
2022,UCLA,4,16,32,72
2022,Texas,6,32,32,71
2022,Purdue,3,16,32,81
2022,Murray St.,7,32,32,60
2022,Saint Peter's,15,8,32,70
2022,Arizona,1,16,32,85
2022,TCU,9,32,32,80
2022,Houston,5,8,32,68
2022,Illinois,4,32,32,53
2022,Michigan,11,16,32,76
2022,Tennessee,3,32,32,68
2022,Ohio St.,7,32,32,61
2022,Villanova,2,4,32,71
2022,Kansas,1,1,32,79
2022,Creighton,9,32,32,72
2022,Richmond,12,32,32,51
2022,Providence,4,16,32,79
2022,Iowa St.,11,16,32,54
2022,Wisconsin,3,32,32,49
2022,Miami FL,10,8,32,79
2022,Auburn,2,32,32,61
2022,Gonzaga,1,16,16,68
2022,Arkansas,4,8,16,74
2022,Texas Tech,3,16,16,73
2022,Duke,2,4,16,78
2022,North Carolina,8,2,16,73
2022,UCLA,4,16,16,66
2022,Purdue,3,16,16,64
2022,Saint Peter's,15,8,16,67
2022,Arizona,1,16,16,60
2022,Houston,5,8,16,72
2022,Michigan,11,16,16,55
2022,Villanova,2,4,16,63
2022,Kansas,1,1,16,66
2022,Providence,4,16,16,61
2022,Iowa St.,11,16,16,56
2022,Miami FL,10,8,16,70
2022,Arkansas,4,8,8,69
2022,Duke,2,4,8,78
2022,North Carolina,8,2,8,69
2022,Saint Peter's,15,8,8,49
2022,Houston,5,8,8,44
2022,Villanova,2,4,8,50
2022,Kansas,1,1,8,76
2022,Miami FL,10,8,8,50
2022,Duke,2,4,4,77
2022,North Carolina,8,2,4,81
2022,Villanova,2,4,4,65
2022,Kansas,1,1,4,81
2022,North Carolina,8,2,2,69
2022,Kansas,1,1,2,72
2021,Gonzaga,1,2,64,98
2021,Norfolk St.,16,64,64,55
2021,Oklahoma,8,32,64,72
2021,Missouri,9,64,64,68
2021,Creighton,5,16,64,63
2021,UC Santa Barbara,12,64,64,62
2021,Virginia,4,64,64,58
2021,Ohio,13,32,64,62
2021,USC,6,8,64,72
2021,Drake,11,64,64,56
2021,Kansas,3,32,64,93
2021,Eastern Washington,14,64,64,84
2021,Iowa,2,32,64,86
2021,Grand Canyon,15,64,64,74
2021,Michigan,1,8,64,82
2021,Texas Southern,16,64,64,66
2021,LSU,8,32,64,76
2021,St. Bonaventure,9,64,64,61
2021,Colorado,5,32,64,96
2021,Georgetown,12,64,64,73
2021,Florida St.,4,16,64,64
2021,UNC Greensboro,13,64,64,54
2021,BYU,6,64,64,62
2021,UCLA,11,4,64,73
2021,Texas,3,64,64,52
2021,Abilene Christian,14,32,64,53
2021,Connecticut,7,64,64,54
2021,Maryland,10,32,64,63
2021,Alabama,2,16,64,68
2021,Iona,15,64,64,55
2021,Baylor,1,1,64,79
2021,Hartford,16,64,64,55
2021,North Carolina,8,64,64,62
2021,Wisconsin,9,32,64,85
2021,Villanova,5,16,64,73
2021,Winthrop,12,64,64,63
2021,Purdue,4,64,64,69
2021,North Texas,13,32,64,78
2021,Texas Tech,6,32,64,65
2021,Utah St.,11,64,64,53
2021,Arkansas,3,8,64,85
2021,Colgate,14,64,64,68
2021,Florida,7,32,64,75
2021,Virginia Tech,10,64,64,70
2021,Ohio St.,2,64,64,72
2021,Oral Roberts,15,16,64,75
2021,Illinois,1,32,64,78
2021,Drexel,16,64,64,49
2021,Loyola Chicago,8,16,64,71
2021,Georgia Tech,9,64,64,60
2021,Tennessee,5,64,64,56
2021,Oregon St.,12,8,64,70
2021,Oklahoma St.,4,32,64,69
2021,Liberty,13,64,64,60
2021,San Diego St.,6,64,64,62
2021,Syracuse,11,16,64,78
2021,West Virginia,3,32,64,84
2021,Morehead St.,14,64,64,67
2021,Clemson,7,64,64,56
2021,Rutgers,10,32,64,60
2021,Houston,2,4,64,87
2021,Cleveland St.,15,64,64,56
2021,Gonzaga,1,2,32,87
2021,Oklahoma,8,32,32,71
2021,Creighton,5,16,32,72
2021,Ohio,13,32,32,58
2021,USC,6,8,32,85
2021,Kansas,3,32,32,51
2021,Oregon,7,16,32,95
2021,Iowa,2,32,32,80
2021,Michigan,1,8,32,86
2021,LSU,8,32,32,78
2021,Colorado,5,32,32,53
2021,Florida St.,4,16,32,71
2021,UCLA,11,4,32,67
2021,Abilene Christian,14,32,32,47
2021,Maryland,10,32,32,77
2021,Alabama,2,16,32,96
2021,Baylor,1,1,32,76
2021,Wisconsin,9,32,32,63
2021,Villanova,5,16,32,84
2021,North Texas,13,32,32,61
2021,Texas Tech,6,32,32,66
2021,Arkansas,3,8,32,68
2021,Florida,7,32,32,78
2021,Oral Roberts,15,16,32,81
2021,Illinois,1,32,32,58
2021,Loyola Chicago,8,16,32,71
2021,Oregon St.,12,8,32,80
2021,Oklahoma St.,4,32,32,70
2021,Syracuse,11,16,32,75
2021,West Virginia,3,32,32,72
2021,Rutgers,10,32,32,60
2021,Houston,2,4,32,63
2021,Gonzaga,1,2,16,83
2021,Creighton,5,16,16,65
2021,USC,6,8,16,82
2021,Oregon,7,16,16,68
2021,Michigan,1,8,16,76
2021,Florida St.,4,16,16,58
2021,UCLA,11,4,16,88
2021,Alabama,2,16,16,78
2021,Baylor,1,1,16,62
2021,Villanova,5,16,16,51
2021,Arkansas,3,8,16,72
2021,Oral Roberts,15,16,16,70
2021,Loyola Chicago,8,16,16,58
2021,Oregon St.,12,8,16,65
2021,Syracuse,11,16,16,46
2021,Houston,2,4,16,62
2021,Gonzaga,1,2,8,85
2021,USC,6,8,8,66
2021,Michigan,1,8,8,49
2021,UCLA,11,4,8,51
2021,Baylor,1,1,8,81
2021,Arkansas,3,8,8,72
2021,Oregon St.,12,8,8,61
2021,Houston,2,4,8,67
2021,Gonzaga,1,2,4,93
2021,UCLA,11,4,4,90
2021,Baylor,1,1,4,78
2021,Houston,2,4,4,59
2021,Gonzaga,1,2,2,70
2021,Baylor,1,1,2,86
2019,Duke,1,8,64,85
2019,North Dakota St.,16,64,64,62
2019,VCU,8,64,64,58
2019,UCF,9,32,64,73
2019,Mississippi St.,5,64,64,76
2019,Liberty,12,32,64,80
2019,Virginia Tech,4,16,64,66
2019,Saint Louis,13,64,64,52
2019,Maryland,6,32,64,79
2019,Belmont,11,64,64,77
2019,LSU,3,16,64,79
2019,Yale,14,64,64,74
2019,Louisville,7,64,64,76
2019,Minnesota,10,32,64,86
2019,Michigan St.,2,4,64,76
2019,Bradley,15,64,64,65
2019,Gonzaga,1,8,64,87
2019,Fairleigh Dickinson,16,64,64,49
2019,Syracuse,8,64,64,69
2019,Baylor,9,32,64,78
2019,Marquette,5,64,64,64
2019,Murray St.,12,32,64,83
2019,Florida St.,4,16,64,76
2019,Vermont,13,64,64,69
2019,Buffalo,6,32,64,91
2019,Arizona St.,11,64,64,74
2019,Texas Tech,3,2,64,72
2019,Northern Kentucky,14,64,64,57
2019,Nevada,7,64,64,61
2019,Florida,10,32,64,70
2019,Michigan,2,16,64,74
2019,Montana,15,64,64,55
2019,Virginia,1,1,64,71
2019,Gardner Webb,16,64,64,56
2019,Mississippi,8,64,64,72
2019,Oklahoma,9,32,64,95
2019,Wisconsin,5,64,64,54
2019,Oregon,12,16,64,72
2019,Kansas St.,4,64,64,64
2019,UC Irvine,13,32,64,70
2019,Villanova,6,32,64,61
2019,Saint Mary's,11,64,64,57
2019,Purdue,3,8,64,61
2019,Old Dominion,14,64,64,48
2019,Cincinnati,7,64,64,72
2019,Iowa,10,32,64,79
2019,Tennessee,2,16,64,77
2019,Colgate,15,64,64,70
2019,North Carolina,1,16,64,88
2019,Iona,16,64,64,73
2019,Utah St.,8,64,64,61
2019,Washington,9,32,64,78
2019,Auburn,5,4,64,78
2019,New Mexico St.,12,64,64,77
2019,Kansas,4,32,64,87
2019,Northeastern,13,64,64,52
2019,Iowa St.,6,64,64,59
2019,Ohio St.,11,32,64,62
2019,Houston,3,16,64,84
2019,Georgia St.,14,64,64,55
2019,Wofford,7,32,64,84
2019,Seton Hall,10,64,64,68
2019,Kentucky,2,8,64,79
2019,Abilene Christian,15,64,64,44
2019,Duke,1,8,32,77
2019,UCF,9,32,32,76
2019,Liberty,12,32,32,58
2019,Virginia Tech,4,16,32,67
2019,Maryland,6,32,32,67
2019,LSU,3,16,32,69
2019,Minnesota,10,32,32,50
2019,Michigan St.,2,4,32,70
2019,Gonzaga,1,8,32,83
2019,Baylor,9,32,32,71
2019,Murray St.,12,32,32,62
2019,Florida St.,4,16,32,90
2019,Buffalo,6,32,32,58
2019,Texas Tech,3,2,32,78
2019,Florida,10,32,32,49
2019,Michigan,2,16,32,64
2019,Virginia ,1,1,32,63
2019,Oklahoma,9,32,32,51
2019,Oregon,12,16,32,73
2019,UC Irvine,13,32,32,54
2019,Villanova,6,32,32,61
2019,Purdue,3,8,32,87
2019,Iowa,10,32,32,77
2019,Tennessee,2,16,32,83
2019,North Carolina,1,16,32,81
2019,Washington,9,32,32,59
2019,Auburn,5,4,32,89
2019,Kansas,4,32,32,75
2019,Ohio St.,11,32,32,59
2019,Houston,3,16,32,74
2019,Wofford,7,32,32,56
2019,Kentucky,2,8,32,62
2019,Duke,1,8,16,75
2019,Virginia Tech,4,16,16,73
2019,LSU,3,16,16,63
2019,Michigan St.,2,4,16,80
2019,Gonzaga,1,8,16,72
2019,Florida St.,4,16,16,58
2019,Texas Tech,3,2,16,63
2019,Michigan,2,16,16,44
2019,Virginia ,1,1,16,53
2019,Oregon,12,16,16,49
2019,Purdue,3,8,16,99
2019,Tennessee,2,16,16,94
2019,North Carolina,1,16,16,80
2019,Auburn,5,4,16,97
2019,Houston,3,16,16,58
2019,Kentucky,2,8,16,62
2019,Duke,1,8,8,67
2019,Michigan St.,2,4,8,68
2019,Gonzaga,1,8,8,69
2019,Texas Tech,3,2,8,75
2019,Virginia ,1,1,8,80
2019,Purdue,3,8,8,75
2019,Auburn,5,4,8,77
2019,Kentucky,2,8,8,71
2019,Michigan St.,2,4,4,51
2019,Texas Tech,3,2,4,61
2019,Virginia ,1,1,4,63
2019,Auburn,5,4,4,62
2019,Texas Tech,3,2,2,77
2019,Virginia ,1,1,2,85
2018,Virginia,1,64,64,54
2018,UMBC,16,32,64,74
2018,Creighton,8,64,64,59
2018,Kansas St.,9,8,64,69
2018,Kentucky,5,16,64,78
2018,Davidson,12,64,64,73
2018,Arizona,4,64,64,68
2018,Buffalo,13,32,64,89
2018,Miami FL,6,64,64,62
2018,Loyola Chicago,11,4,64,64
2018,Tennessee,3,32,64,73
2018,Wright St.,14,64,64,47
2018,Nevada,7,16,64,87
2018,Texas,10,64,64,83
2018,Cincinnati,2,32,64,68
2018,Georgia St.,15,64,64,53
2018,Xavier,1,32,64,102
2018,Texas Southern,16,64,64,83
2018,Missouri,8,64,64,54
2018,Florida St.,9,8,64,67
2018,Ohio St.,5,32,64,81
2018,South Dakota St.,12,64,64,73
2018,Gonzaga,4,16,64,68
2018,UNC Greensboro,13,64,64,64
2018,Houston,6,32,64,67
2018,San Diego St.,11,64,64,65
2018,Michigan,3,2,64,61
2018,Montana,14,64,64,47
2018,Texas A&M,7,16,64,73
2018,Providence,10,64,64,69
2018,North Carolina,2,32,64,84
2018,Lipscomb,15,64,64,66
2018,Villanova,1,1,64,87
2018,Radford,16,64,64,61
2018,Virginia Tech,8,64,64,83
2018,Alabama,9,32,64,86
2018,West Virginia,5,16,64,85
2018,Murray St.,12,64,64,68
2018,Wichita St.,4,64,64,75
2018,Marshall,13,32,64,81
2018,Florida,6,32,64,77
2018,St. Bonaventure,11,64,64,62
