YEAR,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2018,Texas Tech,3,8,64,70
2018,Stephen F. Austin,14,64,64,60
2018,Arkansas,7,64,64,62
2018,Butler,10,32,64,79
2018,Purdue,2,16,64,74
2018,Cal St. Fullerton,15,64,64,48
2018,Kansas,1,4,64,76
2018,Penn,16,64,64,60
2018,Seton Hall,8,32,64,94
2018,North Carolina St.,9,64,64,83
2018,Clemson,5,16,64,79
2018,New Mexico St.,12,64,64,68
2018,Auburn,4,32,64,62
2018,College of Charleston,13,64,64,58
2018,TCU,6,64,64,52
2018,Syracuse,11,16,64,57
2018,Michigan St.,3,32,64,82
2018,Bucknell,14,64,64,78
2018,Rhode Island,7,32,64,83
2018,Oklahoma,10,64,64,78
2018,Duke,2,8,64,89
2018,Iona,15,64,64,67
2018,UMBC,16,32,32,43
2018,Kansas St.,9,8,32,50
2018,Kentucky,5,16,32,95
2018,Buffalo,13,32,32,75
2018,Loyola Chicago,11,4,32,63
2018,Tennessee,3,32,32,62
2018,Nevada,7,16,32,75
2018,Cincinnati,2,32,32,73
2018,Xavier,1,32,32,70
2018,Florida St.,9,8,32,75
2018,Ohio St.,5,32,32,84
2018,Gonzaga,4,16,32,90
2018,Houston,6,32,32,63
2018,Michigan,3,2,32,64
2018,Texas A&M,7,16,32,86
2018,North Carolina,2,32,32,65
2018,Villanova,1,1,32,81
2018,Alabama,9,32,32,58
2018,West Virginia,5,16,32,94
2018,Marshall,13,32,32,71
2018,Florida,6,32,32,66
2018,Texas Tech,3,8,32,69
2018,Butler,10,32,32,73
2018,Purdue,2,16,32,76
2018,Kansas,1,4,32,83
2018,Seton Hall,8,32,32,79
2018,Clemson,5,16,32,84
2018,Auburn,4,32,32,53
2018,Syracuse,11,16,32,55
2018,Michigan St.,3,32,32,53
2018,Rhode Island,7,32,32,62
2018,Duke,2,8,32,87
2018,Kansas St.,9,8,16,61
2018,Kentucky,5,16,16,58
2018,Loyola Chicago,11,4,16,69
2018,Nevada,7,16,16,68
2018,Florida St.,9,8,16,75
2018,Gonzaga,4,16,16,60
2018,Michigan,3,2,16,99
2018,Texas A&M,7,16,16,72
2018,Villanova,1,1,16,90
2018,West Virginia,5,16,16,78
2018,Texas Tech,3,8,16,78
2018,Purdue,2,16,16,65
2018,Kansas,1,4,16,80
2018,Clemson,5,16,16,76
2018,Syracuse,11,16,16,65
2018,Duke,2,8,16,69
2018,Kansas St.,9,8,8,62
2018,Loyola Chicago,11,4,8,78
2018,Florida St.,9,8,8,54
2018,Michigan,3,2,8,58
2018,Villanova,1,1,8,71
2018,Texas Tech,3,8,8,59
2018,Kansas,1,4,8,85
2018,Duke,2,8,8,81
2018,Loyola Chicago,11,4,4,57
2018,Michigan,3,2,4,69
2018,Villanova,1,1,4,95
2018,Kansas,1,4,4,79
2018,Michigan,3,2,2,62
2018,Villanova,1,1,2,79
2017,Villanova,1,32,64,76
2017,Mount St. Mary's,16,64,64,56
2017,Wisconsin,8,16,64,84
2017,Virginia Tech,9,64,64,74
2017,Virginia,5,32,64,76
2017,UNC Wilmington,12,64,64,71
2017,Florida,4,8,64,80
2017,East Tennessee St.,13,64,64,65
2017,SMU,6,64,64,65
2017,USC,11,32,64,66
2017,Baylor,3,16,64,91
2017,New Mexico St.,14,64,64,73
2017,South Carolina,7,4,64,93
2017,Marquette,10,64,64,73
2017,Duke,2,32,64,87
2017,Troy,15,64,64,65
2017,Gonzaga,1,2,64,66
2017,South Dakota St.,16,64,64,46
2017,Northwestern,8,32,64,68
2017,Vanderbilt,9,64,64,66
2017,Notre Dame,5,32,64,60
2017,Princeton,12,64,64,58
2017,West Virginia,4,16,64,86
2017,Bucknell,13,64,64,80
2017,Maryland,6,64,64,65
2017,Xavier,11,8,64,76
2017,Florida St.,3,32,64,86
2017,Florida Gulf Coast,14,64,64,80
2017,Saint Mary's,7,32,64,85
2017,VCU,10,64,64,77
2017,Arizona,2,16,64,100
2017,North Dakota,15,64,64,82
2017,Kansas,1,8,64,100
2017,UC Davis,16,64,64,62
2017,Miami FL,8,64,64,58
2017,Michigan St.,9,32,64,78
2017,Iowa St.,5,32,64,84
2017,Nevada,12,64,64,73
2017,Purdue,4,16,64,80
2017,Vermont,13,64,64,70
2017,Creighton,6,64,64,72
2017,Rhode Island,11,32,64,84
2017,Oregon,3,4,64,93
2017,Iona,14,64,64,77
2017,Michigan,7,16,64,92
2017,Oklahoma St.,10,64,64,91
2017,Louisville,2,32,64,78
2017,Jacksonville St.,15,64,64,63
2017,North Carolina,1,1,64,103
2017,Texas Southern,16,64,64,64
2017,Arkansas,8,32,64,77
2017,Seton Hall,9,64,64,71
2017,Minnesota,5,64,64,72
2017,Middle Tennessee,12,32,64,81
2017,Butler,4,16,64,76
2017,Winthrop,13,64,64,64
2017,Cincinnati,6,32,64,75
2017,Kansas St.,11,64,64,61
2017,UCLA,3,16,64,97
2017,Kent St.,14,64,64,80
2017,Dayton,7,64,64,58
2017,Wichita St.,10,32,64,64
2017,Kentucky,2,8,64,79
2017,Northern Kentucky,15,64,64,70
2017,Villanova,1,32,32,62
2017,Wisconsin,8,16,32,65
2017,Virginia,5,32,32,39
2017,Florida,4,8,32,65
2017,USC,11,32,32,78
2017,Baylor,3,16,32,82
2017,South Carolina,7,4,32,88
2017,Duke,2,32,32,81
2017,Gonzaga,1,2,32,79
2017,Northwestern,8,32,32,73
2017,Notre Dame,5,32,32,71
2017,West Virginia,4,16,32,83
2017,Xavier,11,8,32,91
2017,Florida St.,3,32,32,66
2017,Saint Mary's,7,32,32,60
2017,Arizona,2,16,32,69
2017,Kansas,1,8,32,90
2017,Michigan St.,9,32,32,70
2017,Iowa St.,5,32,32,76
2017,Purdue,4,16,32,80
2017,Rhode Island,11,32,32,72
2017,Oregon,3,4,32,75
2017,Michigan,7,16,32,73
2017,Louisville,2,32,32,69
2017,North Carolina,1,1,32,72
2017,Arkansas,8,32,32,65
2017,Middle Tennessee,12,32,32,65
2017,Butler,4,16,32,74
2017,Cincinnati,6,32,32,67
2017,UCLA,3,16,32,79
2017,Wichita St.,10,32,32,62
2017,Kentucky,2,8,32,65
2017,Wisconsin,8,16,16,83
2017,Florida,4,8,16,84
2017,Baylor,3,16,16,50
2017,South Carolina,7,4,16,70
2017,Gonzaga,1,2,16,61
2017,West Virginia,4,16,16,58
2017,Xavier,11,8,16,73
2017,Arizona,2,16,16,71
2017,Kansas,1,8,16,98
2017,Purdue,4,16,16,66
2017,Oregon,3,4,16,69
2017,Michigan,7,16,16,68
2017,North Carolina,1,1,16,92
2017,Butler,4,16,16,80
2017,UCLA,3,16,16,75
2017,Kentucky,2,8,16,86
2017,Florida,4,8,8,70
2017,South Carolina,7,4,8,77
2017,Gonzaga,1,2,8,83
2017,Xavier,11,8,8,59
2017,Kansas,1,8,8,60
2017,Oregon,3,4,8,74
2017,North Carolina,1,1,8,75
2017,Kentucky,2,8,8,73
2017,South Carolina,7,4,4,73
2017,Gonzaga,1,2,4,77
2017,Oregon,3,4,4,76
2017,North Carolina,1,1,4,77
2017,Gonzaga,1,2,2,65
2017,North Carolina,1,1,2,71
2016,Kansas,1,8,64,105
2016,Austin Peay,16,64,64,79
2016,Colorado,8,64,64,67
2016,Connecticut,9,32,64,74
2016,Maryland,5,16,64,79
2016,South Dakota St.,12,64,64,74
2016,California,4,64,64,66
2016,Hawaii,13,32,64,77
2016,Arizona,6,64,64,55
2016,Wichita St.,11,32,64,65
2016,Miami FL,3,16,64,79
2016,Buffalo,14,64,64,72
2016,Iowa,7,32,64,72
2016,Temple,10,64,64,70
2016,Villanova,2,1,64,86
2016,UNC Asheville,15,64,64,56
2016,Oregon,1,8,64,91
2016,Holy Cross,16,64,64,52
2016,Saint Joseph's,8,32,64,78
2016,Cincinnati,9,64,64,76
2016,Baylor,5,64,64,75
2016,Yale,12,32,64,79
2016,Duke,4,16,64,93
2016,UNC Wilmington,13,64,64,85
2016,Texas,6,64,64,72
2016,Northern Iowa,11,32,64,75
2016,Texas A&M,3,16,64,92
2016,Green Bay,14,64,64,65
2016,Oregon St.,7,64,64,67
2016,VCU,10,32,64,75
2016,Oklahoma,2,4,64,82
2016,Cal St. Bakersfield,15,64,64,68
2016,North Carolina,1,2,64,83
2016,Florida Gulf Coast,16,64,64,67
2016,USC,8,64,64,69
2016,Providence,9,32,64,70
2016,Indiana,5,16,64,99
2016,Chattanooga,12,64,64,74
2016,Kentucky,4,32,64,85
2016,Stony Brook,13,64,64,57
2016,Notre Dame,6,8,64,70
2016,Michigan,11,64,64,63
2016,West Virginia,3,64,64,56
2016,Stephen F. Austin,14,32,64,70
2016,Wisconsin,7,16,64,47
2016,Pittsburgh,10,64,64,43
2016,Xavier,2,32,64,71
2016,Weber St.,15,64,64,53
2016,Virginia,1,8,64,81
2016,Hampton,16,64,64,45
2016,Texas Tech,8,64,64,61
2016,Butler,9,32,64,71
2016,Purdue,5,64,64,83
2016,Little Rock,12,32,64,85
2016,Iowa St.,4,16,64,94
2016,Iona,13,64,64,81
2016,Seton Hall,6,64,64,52
2016,Gonzaga,11,16,64,68
2016,Utah,3,32,64,80
2016,Fresno St.,14,64,64,69
2016,Dayton,7,64,64,51
2016,Syracuse,10,4,64,70
2016,Michigan St.,2,64,64,81
2016,Middle Tennessee,15,32,64,90
2016,Kansas,1,8,32,73
2016,Connecticut,9,32,32,61
2016,Maryland,5,16,32,73
2016,Hawaii,13,32,32,60
2016,Wichita St.,11,32,32,57
2016,Miami FL,3,16,32,65
2016,Iowa,7,32,32,68
2016,Villanova,2,1,32,87
2016,Oregon,1,8,32,69
2016,Saint Joseph's,8,32,32,64
2016,Yale,12,32,32,64
2016,Duke,4,16,32,71
2016,Northern Iowa,11,32,32,88
2016,Texas A&M,3,16,32,92
2016,VCU,10,32,32,81
2016,Oklahoma,2,4,32,85
2016,North Carolina,1,2,32,85
2016,Providence,9,32,32,66
2016,Indiana,5,16,32,73
2016,Kentucky,4,32,32,67
2016,Notre Dame,6,8,32,76
2016,Stephen F. Austin,14,32,32,75
2016,Wisconsin,7,16,32,66
2016,Xavier,2,32,32,63
2016,Virginia,1,8,32,77
2016,Butler,9,32,32,69
2016,Little Rock,12,32,32,61
2016,Iowa St.,4,16,32,78
2016,Gonzaga,11,16,32,82
2016,Utah,3,32,32,59
2016,Syracuse,10,4,32,75
2016,Middle Tennessee,15,32,32,50
2016,Kansas,1,8,16,79
2016,Maryland,5,16,16,63
2016,Miami FL,3,16,16,69
2016,Villanova,2,1,16,92
2016,Oregon,1,8,16,82
2016,Duke,4,16,16,68
2016,Texas A&M,3,16,16,63
2016,Oklahoma,2,4,16,77
2016,North Carolina,1,2,16,101
2016,Indiana,5,16,16,86
2016,Notre Dame,6,8,16,61
2016,Wisconsin,7,16,16,56
2016,Virginia,1,8,16,84
2016,Iowa St.,4,16,16,71
2016,Gonzaga,11,16,16,60
2016,Syracuse,10,4,16,63
2016,Kansas,1,8,8,59
2016,Villanova,2,1,8,64
2016,Oregon,1,8,8,68
2016,Oklahoma,2,4,8,80
2016,North Carolina,1,2,8,88
2016,Notre Dame,6,8,8,74
2016,Virginia,1,8,8,62
2016,Syracuse,10,4,8,68
2016,Villanova,2,1,4,95
2016,Oklahoma,2,4,4,51
2016,North Carolina,1,2,4,83
2016,Syracuse,10,4,4,66
2016,Villanova,2,1,2,77
2016,North Carolina,1,2,2,74
2015,Kentucky,1,4,64,79
2015,Hampton,16,64,64,56
2015,Cincinnati,8,32,64,66
2015,Purdue,9,64,64,65
2015,West Virginia,5,16,64,68
2015,Buffalo,12,64,64,62
2015,Maryland,4,32,64,65
2015,Valparaiso,13,64,64,62
2015,Butler,6,32,64,56
2015,Texas,11,64,64,48
2015,Notre Dame,3,8,64,69
2015,Northeastern,14,64,64,65
2015,Wichita St.,7,16,64,81
2015,Indiana,10,64,64,76
2015,Kansas,2,32,64,75
2015,New Mexico St.,15,64,64,56
2015,Wisconsin,1,2,64,86
2015,Coastal Carolina,16,64,64,72
2015,Oregon,8,32,64,79
2015,Oklahoma St.,9,64,64,73
2015,Arkansas,5,32,64,56
2015,Wofford,12,64,64,53
2015,North Carolina,4,16,64,67
2015,Harvard,13,64,64,65
2015,Xavier,6,16,64,76
2015,Mississippi,11,64,64,57
2015,Baylor,3,64,64,56
2015,Georgia St.,14,32,64,57
2015,VCU,7,64,64,72
2015,Ohio St.,10,32,64,75
2015,Arizona,2,8,64,93
2015,Texas Southern,15,64,64,72
2015,Villanova,1,32,64,93
2015,Lafayette,16,64,64,52
2015,North Carolina St.,8,16,64,66
2015,LSU,9,64,64,65
2015,Northern Iowa,5,32,64,71
2015,Wyoming,12,64,64,54
2015,Louisville,4,8,64,57
2015,UC Irvine,13,64,64,55
2015,Providence,6,64,64,53
2015,Dayton,11,32,64,66
2015,Oklahoma,3,16,64,69
2015,Albany,14,64,64,60
2015,Michigan St.,7,4,64,70
2015,Georgia,10,64,64,63
2015,Virginia,2,32,64,79
2015,Belmont,15,64,64,67
2015,Duke,1,1,64,85
2015,Robert Morris,16,64,64,56
2015,San Diego St.,8,32,64,76
2015,St. John's,9,64,64,64
2015,Utah,5,16,64,57
2015,Stephen F. Austin,12,64,64,50
2015,Georgetown,4,32,64,84
2015,Eastern Washington,13,64,64,74
2015,SMU,6,64,64,59
2015,UCLA,11,16,64,60
2015,Iowa St.,3,64,64,59
2015,UAB,14,32,64,60
2015,Iowa,7,32,64,83
2015,Davidson,10,64,64,52
2015,Gonzaga,2,8,64,86
2015,North Dakota St.,15,64,64,76
2015,Kentucky,1,4,32,64
2015,Cincinnati,8,32,32,51
2015,West Virginia,5,16,32,69
2015,Maryland,4,32,32,59
2015,Butler,6,32,32,64
2015,Notre Dame,3,8,32,67
2015,Wichita St.,7,16,32,78
2015,Kansas,2,32,32,65
2015,Wisconsin,1,2,32,72
2015,Oregon,8,32,32,65
2015,Arkansas,5,32,32,78
2015,North Carolina,4,16,32,87
2015,Xavier,6,16,32,75
2015,Georgia St.,14,32,32,67
2015,Ohio St.,10,32,32,58
2015,Arizona,2,8,32,73
2015,Villanova,1,32,32,68
2015,North Carolina St.,8,16,32,71
2015,Northern Iowa,5,32,32,53
2015,Louisville,4,8,32,66
2015,Dayton,11,32,32,66
2015,Oklahoma,3,16,32,72
2015,Michigan St.,7,4,32,60
2015,Virginia,2,32,32,54
2015,Duke,1,1,32,68
2015,San Diego St.,8,32,32,49
2015,Utah,5,16,32,75
2015,Georgetown,4,32,32,64
2015,UCLA,11,16,32,92
2015,UAB,14,32,32,75
2015,Iowa,7,32,32,68
2015,Gonzaga,2,8,32,87
2015,Kentucky,1,4,16,78
2015,West Virginia,5,16,16,39
2015,Notre Dame,3,8,16,81
2015,Wichita St.,7,16,16,70
2015,Wisconsin,1,2,16,79
2015,North Carolina,4,16,16,72
2015,Xavier,6,16,16,60
2015,Arizona,2,8,16,68
2015,North Carolina St.,8,16,16,65
2015,Louisville,4,8,16,75
2015,Oklahoma,3,16,16,58
2015,Michigan St.,7,4,16,62
2015,Duke,1,1,16,63
2015,Utah,5,16,16,57
2015,UCLA,11,16,16,62
2015,Gonzaga,2,8,16,74
2015,Kentucky,1,4,8,68
2015,Notre Dame,3,8,8,66
2015,Wisconsin,1,2,8,85
2015,Arizona,2,8,8,78
2015,Louisville,4,8,8,70
2015,Michigan St.,7,4,8,76
2015,Duke,1,1,8,66
2015,Gonzaga,2,8,8,52
2015,Kentucky,1,4,4,64
2015,Wisconsin,1,2,4,71
2015,Michigan St.,7,4,4,61
2015,Duke,1,1,4,81
2015,Wisconsin,1,2,2,63
2015,Duke,1,1,2,68
2014,Florida,1,4,64,67
2014,Albany,16,64,64,55
2014,Colorado,8,64,64,48
2014,Pittsburgh,9,32,64,77
2014,VCU,5,64,64,75
2014,Stephen F. Austin,12,32,64,77
2014,UCLA,4,16,64,76
2014,Tulsa,13,64,64,59
2014,Ohio St.,6,64,64,59
2014,Dayton,11,8,64,60
2014,Syracuse,3,32,64,77
2014,Western Michigan,14,64,64,53
2014,New Mexico,7,64,64,53
2014,Stanford,10,16,64,58
2014,Kansas,2,32,64,80
2014,Eastern Kentucky,15,64,64,69
2014,Virginia,1,16,64,70
2014,Coastal Carolina,16,64,64,59
2014,Memphis,8,32,64,71
2014,George Washington,9,64,64,66
2014,Cincinnati,5,64,64,57
2014,Harvard,12,32,64,61
2014,Michigan St.,4,8,64,93
2014,Delaware,13,64,64,78
2014,North Carolina,6,32,64,79
2014,Providence,11,64,64,77
2014,Iowa St.,3,16,64,93
2014,North Carolina Central,14,64,64,75
2014,Connecticut,7,1,64,89
2014,Saint Joseph's,10,64,64,81
2014,Villanova,2,32,64,73
2014,Milwaukee,15,64,64,53
2014,Arizona,1,8,64,68
2014,Weber St.,16,64,64,59
2014,Gonzaga,8,32,64,85
2014,Oklahoma St.,9,64,64,77
2014,Oklahoma,5,64,64,75
2014,North Dakota St.,12,32,64,80
2014,San Diego St.,4,16,64,73
2014,New Mexico St.,13,64,64,69
2014,Baylor,6,16,64,74
2014,Nebraska,11,64,64,60
2014,Creighton,3,32,64,76
2014,Louisiana Lafayette,14,64,64,66
2014,Oregon,7,32,64,87
2014,BYU,10,64,64,68
2014,Wisconsin,2,4,64,75
2014,American,15,64,64,35
2014,Wichita St.,1,32,64,64
2014,Cal Poly,16,64,64,37
2014,Kentucky,8,2,64,56
2014,Kansas St.,9,64,64,49
2014,Saint Louis,5,32,64,83
2014,North Carolina St.,12,64,64,80
2014,Louisville,4,16,64,71
2014,Manhattan,13,64,64,64
2014,Massachusetts,6,64,64,67
2014,Tennessee,11,16,64,86
2014,Duke,3,64,64,71
2014,Mercer,14,32,64,78
2014,Texas,7,32,64,87
2014,Arizona St.,10,64,64,85
2014,Michigan,2,8,64,57
2014,Wofford,15,64,64,40
2014,Florida,1,4,32,61
2014,Pittsburgh,9,32,32,45
2014,Stephen F. Austin,12,32,32,60
2014,UCLA,4,16,32,77
2014,Dayton,11,8,32,55
2014,Syracuse,3,32,32,53
2014,Stanford,10,16,32,60
2014,Kansas,2,32,32,57
2014,Virginia,1,16,32,78
2014,Memphis,8,32,32,60
2014,Harvard,12,32,32,73
2014,Michigan St.,4,8,32,80
2014,North Carolina,6,32,32,83
2014,Iowa St.,3,16,32,85
2014,Connecticut,7,1,32,77
2014,Villanova,2,32,32,65
2014,Arizona,1,8,32,84
2014,Gonzaga,8,32,32,61
2014,North Dakota St.,12,32,32,44
2014,San Diego St.,4,16,32,63
2014,Baylor,6,16,32,85
2014,Creighton,3,32,32,55
2014,Oregon,7,32,32,77
2014,Wisconsin,2,4,32,85
2014,Wichita St.,1,32,32,76
2014,Kentucky,8,2,32,78
2014,Saint Louis,5,32,32,51
2014,Louisville,4,16,32,66
2014,Tennessee,11,16,32,83
2014,Mercer,14,32,32,63
2014,Texas,7,32,32,65
2014,Michigan,2,8,32,79
2014,Florida,1,4,16,79
2014,UCLA,4,16,16,68
2014,Dayton,11,8,16,82
2014,Stanford,10,16,16,72
2014,Virginia,1,16,16,59
2014,Michigan St.,4,8,16,61
2014,Iowa St.,3,16,16,76
2014,Connecticut,7,1,16,81
2014,Arizona,1,8,16,70
2014,San Diego St.,4,16,16,64
2014,Baylor,6,16,16,52
2014,Wisconsin,2,4,16,69
2014,Kentucky,8,2,16,74
2014,Louisville,4,16,16,69
2014,Tennessee,11,16,16,71
2014,Michigan,2,8,16,73
2014,Florida,1,4,8,62
2014,Dayton,11,8,8,52
2014,Michigan St.,4,8,8,54
2014,Connecticut,7,1,8,60
2014,Arizona,1,8,8,63
2014,Wisconsin,2,4,8,64
2014,Kentucky,8,2,8,75
2014,Michigan,2,8,8,72
2014,Florida,1,4,4,53
2014,Connecticut,7,1,4,63
2014,Wisconsin,2,4,4,73
2014,Kentucky,8,2,4,74
2014,Connecticut,7,1,2,60
2014,Kentucky,8,2,2,54
2013,Louisville,1,1,64,79
2013,North Carolina A&T,16,64,64,48
2013,Colorado St.,8,32,64,84
2013,Missouri,9,64,64,72
2013,Oklahoma St.,5,64,64,55
2013,Oregon,12,16,64,68
2013,Saint Louis,4,32,64,64
2013,New Mexico St.,13,64,64,44
2013,Memphis,6,32,64,54
2013,Saint Mary's,11,64,64,52
2013,Michigan St.,3,16,64,65
2013,Valparaiso,14,64,64,54
2013,Creighton,7,32,64,67
2013,Cincinnati,10,64,64,63
2013,Duke,2,8,64,73
2013,Albany,15,64,64,61
2013,Gonzaga,1,32,64,64
2013,Southern,16,64,64,58
2013,Pittsburgh,8,64,64,55
2013,Wichita St.,9,4,64,73
2013,Wisconsin,5,64,64,46
2013,Mississippi,12,32,64,57
2013,Kansas St.,4,64,64,61
2013,La Salle,13,16,64,63
2013,Arizona,6,16,64,81
2013,Belmont,11,64,64,64
2013,New Mexico,3,64,64,62
2013,Harvard,14,32,64,68
2013,Notre Dame,7,64,64,58
2013,Iowa St.,10,32,64,76
2013,Ohio St.,2,8,64,95
2013,Iona,15,64,64,70
2013,Kansas,1,16,64,64
2013,Western Kentucky,16,64,64,57
2013,North Carolina,8,32,64,78
2013,Villanova,9,64,64,71
2013,VCU,5,32,64,88
2013,Akron,12,64,64,42
2013,Michigan,4,2,64,71
2013,South Dakota St.,13,64,64,56
2013,UCLA,6,64,64,63
2013,Minnesota,11,32,64,83
2013,Florida,3,8,64,79
2013,Northwestern St.,14,64,64,47
2013,San Diego St.,7,32,64,70
2013,Oklahoma,10,64,64,55
2013,Georgetown,2,64,64,68
2013,Florida Gulf Coast,15,16,64,78
2013,Indiana,1,16,64,83
2013,James Madison,16,64,64,62
2013,North Carolina St.,8,64,64,72
2013,Temple,9,32,64,76
2013,UNLV,5,64,64,61
2013,California,12,32,64,64
2013,Syracuse,4,4,64,81
2013,Montana,13,64,64,34
2013,Butler,6,32,64,68
2013,Bucknell,11,64,64,56
2013,Marquette,3,8,64,59
2013,Davidson,14,64,64,58
2013,Illinois,7,32,64,57
2013,Colorado,10,64,64,49
2013,Miami FL,2,16,64,78
2013,Pacific,15,64,64,49
2013,Louisville,1,1,32,82
2013,Colorado St.,8,32,32,56
2013,Oregon,12,16,32,74
2013,Saint Louis,4,32,32,57
2013,Memphis,6,32,32,48
2013,Michigan St.,3,16,32,70
2013,Creighton,7,32,32,50
2013,Duke,2,8,32,66
2013,Gonzaga,1,32,32,70
2013,Wichita St.,9,4,32,76
2013,Mississippi,12,32,32,74
2013,La Salle,13,16,32,76
2013,Arizona,6,16,32,74
2013,Harvard,14,32,32,51
2013,Iowa St.,10,32,32,75
2013,Ohio St.,2,8,32,78
2013,Kansas,1,16,32,70
