YEAR,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2013,North Carolina,8,32,32,58
2013,VCU,5,32,32,53
2013,Michigan,4,2,32,78
2013,Minnesota,11,32,32,64
2013,Florida,3,8,32,78
2013,San Diego St.,7,32,32,71
2013,Florida Gulf Coast,15,16,32,81
2013,Indiana,1,16,32,58
2013,Temple,9,32,32,52
2013,California,12,32,32,60
2013,Syracuse,4,4,32,66
2013,Butler,6,32,32,72
2013,Marquette,3,8,32,74
2013,Illinois,7,32,32,59
2013,Miami FL,2,16,32,63
2013,Louisville,1,1,16,77
2013,Oregon,12,16,16,69
2013,Michigan St.,3,16,16,61
2013,Duke,2,8,16,71
2013,Wichita St.,9,4,16,72
2013,La Salle,13,16,16,58
2013,Arizona,6,16,16,70
2013,Ohio St.,2,8,16,73
2013,Kansas,1,16,16,85
2013,Michigan,4,2,16,87
2013,Florida,3,8,16,62
2013,Florida Gulf Coast,15,16,16,50
2013,Indiana,1,16,16,50
2013,Syracuse,4,4,16,61
2013,Marquette,3,8,16,71
2013,Miami FL,2,16,16,61
2013,Louisville,1,1,8,85
2013,Duke,2,8,8,63
2013,Wichita St.,9,4,8,70
2013,Ohio St.,2,8,8,66
2013,Michigan,4,2,8,79
2013,Florida,3,8,8,59
2013,Syracuse,4,4,8,55
2013,Marquette,3,8,8,39
2013,Louisville,1,1,4,72
2013,Wichita St.,9,4,4,68
2013,Michigan,4,2,4,61
2013,Syracuse,4,4,4,56
2013,Louisville,1,1,2,82
2013,Michigan,4,2,2,76
2012,Kentucky,1,1,64,81
2012,Western Kentucky,16,64,64,66
2012,Iowa St.,8,32,64,77
2012,Connecticut,9,64,64,64
2012,Wichita St.,5,64,64,59
2012,VCU,12,32,64,62
2012,Indiana,4,16,64,79
2012,New Mexico St.,13,64,64,66
2012,UNLV,6,64,64,64
2012,Colorado,11,32,64,68
2012,Baylor,3,8,64,68
2012,South Dakota St.,14,64,64,60
2012,Notre Dame,7,64,64,63
2012,Xavier,10,16,64,67
2012,Duke,2,64,64,70
2012,Lehigh,15,32,64,75
2012,Michigan St.,1,16,64,89
2012,LIU Brooklyn,16,64,64,67
2012,Memphis,8,64,64,54
2012,Saint Louis,9,32,64,61
2012,New Mexico,5,32,64,75
2012,Long Beach St.,12,64,64,68
2012,Louisville,4,4,64,69
2012,Davidson,13,64,64,62
2012,Murray St.,6,32,64,58
2012,Colorado St.,11,64,64,41
2012,Marquette,3,16,64,88
2012,BYU,14,64,64,68
2012,Florida,7,8,64,71
2012,Virginia,10,64,64,45
2012,Missouri,2,64,64,84
2012,Norfolk St.,15,32,64,86
2012,Syracuse,1,8,64,72
2012,UNC Asheville,16,64,64,65
2012,Kansas St.,8,32,64,70
2012,Southern Miss,9,64,64,64
2012,Vanderbilt,5,32,64,79
2012,Harvard,12,64,64,70
2012,Wisconsin,4,16,64,73
2012,Montana,13,64,64,49
2012,Cincinnati,6,16,64,65
2012,Texas,11,64,64,59
2012,Florida St.,3,32,64,66
2012,St. Bonaventure,14,64,64,63
2012,Gonzaga,7,32,64,77
2012,West Virginia,10,64,64,54
2012,Ohio St.,2,4,64,78
2012,Loyola MD,15,64,64,59
2012,North Carolina,1,8,64,77
2012,Vermont,16,64,64,58
2012,Creighton,8,32,64,58
2012,Alabama,9,64,64,57
2012,Temple,5,64,64,44
2012,South Florida,12,32,64,58
2012,Michigan,4,64,64,60
2012,Ohio,13,16,64,65
2012,San Diego St.,6,64,64,65
2012,North Carolina St.,11,16,64,79
2012,Georgetown,3,32,64,74
2012,Belmont,14,64,64,59
2012,Saint Mary's,7,64,64,69
2012,Purdue,10,32,64,72
2012,Kansas,2,2,64,65
2012,Detroit,15,64,64,50
2012,Kentucky,1,1,32,87
2012,Iowa St.,8,32,32,71
2012,VCU,12,32,32,61
2012,Indiana,4,16,32,63
2012,Colorado,11,32,32,63
2012,Baylor,3,8,32,80
2012,Xavier,10,16,32,70
2012,Lehigh,15,32,32,58
2012,Michigan St.,1,16,32,65
2012,Saint Louis,9,32,32,61
2012,New Mexico,5,32,32,56
2012,Louisville,4,4,32,59
2012,Murray St.,6,32,32,53
2012,Marquette,3,16,32,62
2012,Florida,7,8,32,84
2012,Norfolk St.,15,32,32,50
2012,Syracuse,1,8,32,75
2012,Kansas St.,8,32,32,59
2012,Vanderbilt,5,32,32,57
2012,Wisconsin,4,16,32,60
2012,Cincinnati,6,16,32,62
2012,Florida St.,3,32,32,56
2012,Gonzaga,7,32,32,66
2012,Ohio St.,2,4,32,73
2012,North Carolina,1,8,32,87
2012,Creighton,8,32,32,73
2012,South Florida,12,32,32,56
2012,Ohio,13,16,32,62
2012,North Carolina St.,11,16,32,66
2012,Georgetown,3,32,32,63
2012,Purdue,10,32,32,60
2012,Kansas,2,2,32,63
2012,Kentucky,1,1,16,102
2012,Indiana,4,16,16,90
2012,Baylor,3,8,16,75
2012,Xavier,10,16,16,70
2012,Michigan St.,1,16,16,44
2012,Louisville,4,4,16,57
2012,Marquette,3,16,16,58
2012,Florida,7,8,16,68
2012,Syracuse,1,8,16,64
2012,Wisconsin,4,16,16,63
2012,Cincinnati,6,16,16,66
2012,Ohio St.,2,4,16,81
2012,North Carolina,1,8,16,73
2012,Ohio,13,16,16,65
2012,North Carolina St.,11,16,16,57
2012,Kansas,2,2,16,60
2012,Kentucky,1,1,8,82
2012,Baylor,3,8,8,70
2012,Louisville,4,4,8,72
2012,Florida,7,8,8,68
2012,Syracuse,1,8,8,70
2012,Ohio St.,2,4,8,77
2012,North Carolina,1,8,8,67
2012,Kansas,2,2,8,80
2012,Kentucky,1,1,4,69
2012,Louisville,4,4,4,61
2012,Ohio St.,2,4,4,62
2012,Kansas,2,2,4,64
2012,Kentucky,1,1,2,67
2012,Kansas,2,2,2,59
2011,Ohio St.,1,16,64,75
2011,UTSA,16,64,64,46
2011,George Mason,8,32,64,61
2011,Villanova,9,64,64,57
2011,West Virginia,5,32,64,84
2011,Clemson,12,64,64,76
2011,Kentucky,4,4,64,59
2011,Princeton,13,64,64,57
2011,Xavier,6,64,64,55
2011,Marquette,11,16,64,66
2011,Syracuse,3,32,64,77
2011,Indiana St.,14,64,64,60
2011,Washington,7,32,64,68
2011,Georgia,10,64,64,65
2011,North Carolina,2,8,64,102
2011,LIU Brooklyn,15,64,64,87
2011,Duke,1,16,64,87
2011,Hampton,16,64,64,45
2011,Michigan,8,32,64,75
2011,Tennessee,9,64,64,45
2011,Arizona,5,8,64,77
2011,Memphis,12,64,64,75
2011,Texas,4,32,64,85
2011,Oakland,13,64,64,81
2011,Cincinnati,6,32,64,78
2011,Missouri,11,64,64,63
2011,Connecticut,3,1,64,81
2011,Bucknell,14,64,64,52
2011,Temple,7,32,64,66
2011,Penn St.,10,64,64,64
2011,San Diego St.,2,16,64,68
2011,Northern Colorado,15,64,64,50
2011,Kansas,1,8,64,72
2011,Boston University,16,64,64,53
2011,UNLV,8,64,64,62
2011,Illinois,9,32,64,73
2011,Vanderbilt,5,64,64,66
2011,Richmond,12,16,64,69
2011,Louisville,4,64,64,61
2011,Morehead St.,13,32,64,62
2011,Georgetown,6,64,64,56
2011,VCU,11,4,64,74
2011,Purdue,3,32,64,65
2011,Saint Peter's,14,64,64,43
2011,Texas A&M,7,64,64,50
2011,Florida St.,10,16,64,57
2011,Notre Dame,2,32,64,69
2011,Akron,15,64,64,56
2011,Pittsburgh,1,32,64,74
2011,UNC Asheville,16,64,64,51
2011,Butler,8,2,64,60
2011,Old Dominion,9,64,64,58
2011,Kansas St.,5,32,64,73
2011,Utah St.,12,64,64,68
2011,Wisconsin,4,16,64,72
2011,Belmont,13,64,64,58
2011,St. John's,6,64,64,71
2011,Gonzaga,11,32,64,86
2011,BYU,3,16,64,74
2011,Wofford,14,64,64,66
2011,UCLA,7,32,64,78
2011,Michigan St.,10,64,64,76
2011,Florida,2,8,64,79
2011,UC Santa Barbara,15,64,64,51
2011,Ohio St.,1,16,32,98
2011,George Mason,8,32,32,66
2011,West Virginia,5,32,32,63
2011,Kentucky,4,4,32,71
2011,Marquette,11,16,32,66
2011,Syracuse,3,32,32,62
2011,Washington,7,32,32,83
2011,North Carolina,2,8,32,86
2011,Duke,1,16,32,73
2011,Michigan,8,32,32,71
2011,Arizona,5,8,32,70
2011,Texas,4,32,32,69
2011,Cincinnati,6,32,32,58
2011,Connecticut,3,1,32,69
2011,Temple,7,32,32,64
2011,San Diego St.,2,16,32,71
2011,Kansas,1,8,32,73
2011,Illinois,9,32,32,59
2011,Richmond,12,16,32,65
2011,Morehead St.,13,32,32,48
2011,VCU,11,4,32,94
2011,Purdue,3,32,32,76
2011,Florida St.,10,16,32,71
2011,Notre Dame,2,32,32,57
2011,Pittsburgh,1,32,32,70
2011,Butler,8,2,32,71
2011,Kansas St.,5,32,32,65
2011,Wisconsin,4,16,32,70
2011,Gonzaga,11,32,32,67
2011,BYU,3,16,32,89
2011,UCLA,7,32,32,65
2011,Florida,2,8,32,73
2011,Ohio St.,1,16,16,60
2011,Kentucky,4,4,16,62
2011,Marquette,11,16,16,63
2011,North Carolina,2,8,16,81
2011,Duke,1,16,16,77
2011,Arizona,5,8,16,93
2011,Connecticut,3,1,16,74
2011,San Diego St.,2,16,16,67
2011,Kansas,1,8,16,77
2011,Richmond,12,16,16,57
2011,VCU,11,4,16,72
2011,Florida St.,10,16,16,71
2011,Butler,8,2,16,61
2011,Wisconsin,4,16,16,54
2011,BYU,3,16,16,74
2011,Florida,2,8,16,83
2011,Kentucky,4,4,8,76
2011,North Carolina,2,8,8,69
2011,Arizona,5,8,8,63
2011,Connecticut,3,1,8,65
2011,Kansas,1,8,8,61
2011,VCU,11,4,8,71
2011,Butler,8,2,8,74
2011,Florida,2,8,8,71
2011,Kentucky,4,4,4,55
2011,Connecticut,3,1,4,56
2011,VCU,11,4,4,62
2011,Butler,8,2,4,70
2011,Connecticut,3,1,2,53
2011,Butler,8,2,2,41
2010,Kansas,1,32,64,90
2010,Lehigh,16,64,64,74
2010,UNLV,8,64,64,66
2010,Northern Iowa,9,16,64,69
2010,Michigan St.,5,4,64,70
2010,New Mexico St.,12,64,64,67
2010,Maryland,4,32,64,89
2010,Houston,13,64,64,77
2010,Tennessee,6,8,64,62
2010,San Diego St.,11,64,64,59
2010,Georgetown,3,64,64,83
2010,Ohio,14,32,64,97
2010,Oklahoma St.,7,64,64,59
2010,Georgia Tech,10,32,64,64
2010,Ohio St.,2,16,64,68
2010,UC Santa Barbara,15,64,64,51
2010,Syracuse,1,16,64,79
2010,Vermont,16,64,64,56
2010,Gonzaga,8,32,64,67
2010,Florida St.,9,64,64,60
2010,Butler,5,2,64,77
2010,UTEP,12,64,64,59
2010,Vanderbilt,4,64,64,65
2010,Murray St.,13,32,64,66
2010,Xavier,6,16,64,65
2010,Minnesota,11,64,64,54
2010,Pittsburgh,3,32,64,89
2010,Oakland,14,64,64,66
2010,BYU,7,32,64,99
2010,Florida,10,64,64,92
2010,Kansas St.,2,8,64,82
2010,North Texas,15,64,64,62
2010,Kentucky,1,8,64,100
2010,East Tennessee St.,16,64,64,71
2010,Texas,8,64,64,80
2010,Wake Forest,9,32,64,81
2010,Temple,5,64,64,65
2010,Cornell,12,16,64,78
2010,Wisconsin,4,32,64,53
2010,Wofford,13,64,64,49
2010,Marquette,6,64,64,78
2010,Washington,11,16,64,80
2010,New Mexico,3,32,64,62
2010,Montana,14,64,64,57
2010,Clemson,7,64,64,78
2010,Missouri,10,32,64,86
2010,West Virginia,2,4,64,77
2010,Morgan St.,15,64,64,50
2010,Duke,1,1,64,73
2010,Arkansas Pine Bluff,16,64,64,44
2010,California,8,32,64,77
2010,Louisville,9,64,64,62
2010,Texas A&M,5,32,64,69
2010,Utah St.,12,64,64,53
2010,Purdue,4,16,64,72
2010,Siena,13,64,64,64
2010,Notre Dame,6,64,64,50
2010,Old Dominion,11,32,64,51
2010,Baylor,3,8,64,68
2010,Sam Houston St.,14,64,64,59
2010,Richmond,7,64,64,71
2010,Saint Mary's,10,16,64,80
2010,Villanova,2,32,64,73
2010,Robert Morris,15,64,64,70
2010,Kansas,1,32,32,67
2010,Northern Iowa,9,16,32,69
2010,Michigan St.,5,4,32,85
2010,Maryland,4,32,32,83
2010,Tennessee,6,8,32,83
2010,Ohio,14,32,32,68
2010,Georgia Tech,10,32,32,66
2010,Ohio St.,2,16,32,75
2010,Syracuse,1,16,32,87
2010,Gonzaga,8,32,32,65
2010,Butler,5,2,32,54
2010,Murray St.,13,32,32,52
2010,Xavier,6,16,32,71
2010,Pittsburgh,3,32,32,68
2010,BYU,7,32,32,72
2010,Kansas St.,2,8,32,84
2010,Kentucky,1,8,32,90
2010,Wake Forest,9,32,32,60
2010,Cornell,12,16,32,87
2010,Wisconsin,4,32,32,69
2010,Washington,11,16,32,82
2010,New Mexico,3,32,32,64
2010,Missouri,10,32,32,59
2010,West Virginia,2,4,32,68
2010,Duke,1,1,32,68
2010,California,8,32,32,53
2010,Texas A&M,5,32,32,61
2010,Purdue,4,16,32,63
2010,Old Dominion,11,32,32,68
2010,Baylor,3,8,32,76
2010,Saint Mary's,10,16,32,75
2010,Villanova,2,32,32,68
2010,Northern Iowa,9,16,16,52
2010,Michigan St.,5,4,16,59
2010,Tennessee,6,8,16,76
2010,Ohio St.,2,16,16,73
2010,Syracuse,1,16,16,59
2010,Butler,5,2,16,63
2010,Xavier,6,16,16,96
2010,Kansas St.,2,8,16,101
2010,Kentucky,1,8,16,62
2010,Cornell,12,16,16,45
2010,Washington,11,16,16,56
2010,West Virginia,2,4,16,69
2010,Duke,1,1,16,70
2010,Purdue,4,16,16,57
2010,Baylor,3,8,16,72
2010,Saint Mary's,10,16,16,49
2010,Michigan St.,5,4,8,70
2010,Tennessee,6,8,8,69
2010,Butler,5,2,8,63
2010,Kansas St.,2,8,8,56
2010,Kentucky,1,8,8,66
2010,West Virginia,2,4,8,73
2010,Duke,1,1,8,78
2010,Baylor,3,8,8,71
2010,Michigan St.,5,4,4,50
2010,Butler,5,2,4,52
2010,West Virginia,2,4,4,57
2010,Duke,1,1,4,78
2010,Butler,5,2,2,59
2010,Duke,1,1,2,61
2009,Louisville,1,8,64,74
2009,Morehead St.,16,64,64,54
2009,Ohio St.,8,64,64,72
2009,Siena,9,32,64,74
2009,Utah,5,64,64,71
2009,Arizona,12,16,64,84
2009,Wake Forest,4,64,64,69
2009,Cleveland St.,13,32,64,84
2009,West Virginia,6,64,64,60
2009,Dayton,11,32,64,68
2009,Kansas,3,16,64,84
2009,North Dakota St.,14,64,64,74
2009,Boston College,7,64,64,55
2009,USC,10,32,64,72
2009,Michigan St.,2,2,64,77
2009,Robert Morris,15,64,64,62
2009,Connecticut,1,4,64,103
2009,Chattanooga,16,64,64,47
2009,BYU,8,64,64,66
2009,Texas A&M,9,32,64,79
2009,Purdue,5,16,64,61
2009,Northern Iowa,12,64,64,56
2009,Washington,4,32,64,71
2009,Mississippi St.,13,64,64,58
2009,Marquette,6,32,64,58
2009,Utah St.,11,64,64,57
2009,Missouri,3,8,64,78
2009,Cornell,14,64,64,59
2009,California,7,64,64,71
2009,Maryland,10,32,64,84
2009,Memphis,2,16,64,81
2009,Cal St. Northridge,15,64,64,70
2009,Pittsburgh,1,8,64,72
2009,East Tennessee St.,16,64,64,62
2009,Oklahoma St.,8,32,64,77
2009,Tennessee,9,64,64,75
2009,Florida St.,5,64,64,59
2009,Wisconsin,12,32,64,61
2009,Xavier,4,16,64,77
2009,Portland St.,13,64,64,59
2009,UCLA,6,32,64,65
2009,VCU,11,64,64,64
2009,Villanova,3,4,64,80
2009,American,14,64,64,67
2009,Texas,7,32,64,76
2009,Minnesota,10,64,64,62
2009,Duke,2,16,64,86
2009,Binghamton,15,64,64,62
2009,North Carolina,1,1,64,101
2009,Radford,16,64,64,58
2009,LSU,8,32,64,75
2009,Butler,9,64,64,71
2009,Illinois,5,64,64,72
2009,Western Kentucky,12,32,64,76
2009,Gonzaga,4,16,64,77
2009,Akron,13,64,64,64
2009,Arizona St.,6,32,64,66
2009,Temple,11,64,64,57
2009,Syracuse,3,16,64,59
2009,Stephen F. Austin,14,64,64,44
2009,Clemson,7,64,64,59
2009,Michigan,10,32,64,62
2009,Oklahoma,2,8,64,82
2009,Morgan St.,15,64,64,54
2009,Louisville,1,8,32,79
2009,Siena,9,32,32,72
2009,Arizona,12,16,32,71
2009,Cleveland St.,13,32,32,57
2009,Dayton,11,32,32,43
2009,Kansas,3,16,32,60
2009,USC,10,32,32,69
2009,Michigan St.,2,2,32,74
2009,Connecticut,1,4,32,92
2009,Texas A&M,9,32,32,66
2009,Purdue,5,16,32,76
2009,Washington,4,32,32,74
2009,Marquette,6,32,32,79
2009,Missouri,3,8,32,83
2009,Maryland,10,32,32,70
2009,Memphis,2,16,32,89
2009,Pittsburgh,1,8,32,84
2009,Oklahoma St.,8,32,32,76
2009,Wisconsin,12,32,32,49
2009,Xavier,4,16,32,60
2009,UCLA,6,32,32,69
2009,Villanova,3,4,32,89
2009,Texas,7,32,32,69
2009,Duke,2,16,32,74
2009,North Carolina,1,1,32,84
2009,LSU,8,32,32,70
2009,Western Kentucky,12,32,32,81
2009,Gonzaga,4,16,32,83
2009,Arizona St.,6,32,32,67
2009,Syracuse,3,16,32,78
2009,Michigan,10,32,32,63
2009,Oklahoma,2,8,32,73
2009,Louisville,1,8,16,103
2009,Arizona,12,16,16,64
2009,Kansas,3,16,16,62
2009,Michigan St.,2,2,16,67
2009,Connecticut,1,4,16,72
2009,Purdue,5,16,16,60
2009,Missouri,3,8,16,102
2009,Memphis,2,16,16,91
2009,Pittsburgh,1,8,16,60
2009,Xavier,4,16,16,55
2009,Villanova,3,4,16,77
2009,Duke,2,16,16,54
2009,North Carolina,1,1,16,98
2009,Gonzaga,4,16,16,77
2009,Syracuse,3,16,16,71
2009,Oklahoma,2,8,16,84
2009,Louisville,1,8,8,52
2009,Michigan St.,2,2,8,64
2009,Connecticut,1,4,8,82
2009,Missouri,3,8,8,75
2009,Pittsburgh,1,8,8,76
2009,Villanova,3,4,8,78
2009,North Carolina,1,1,8,72
2009,Oklahoma,2,8,8,60
2009,Michigan St.,2,2,4,82
2009,Connecticut,1,4,4,73
2009,Villanova,3,4,4,69
2009,North Carolina,1,1,4,83
2009,Michigan St.,2,2,2,72
2009,North Carolina,1,1,2,89
2008,North Carolina,1,4,64,113
2008,Mount St. Mary's,16,64,64,74
2008,Indiana,8,64,64,72
2008,Arkansas,9,32,64,86
2008,Notre Dame,5,32,64,68
2008,George Mason,12,64,64,50
2008,Washington St.,4,16,64,71
2008,Winthrop,13,64,64,40
2008,Oklahoma,6,32,64,72
2008,Saint Joseph's,11,64,64,64
2008,Louisville,3,8,64,79
2008,Boise St.,14,64,64,61
2008,Butler,7,32,64,81
2008,South Alabama,10,64,64,61
2008,Tennessee,2,16,64,72
2008,American,15,64,64,57
2008,Kansas,1,1,64,85
2008,Portland St.,16,64,64,61
2008,UNLV,8,32,64,71
2008,Kent St.,9,64,64,58
2008,Clemson,5,64,64,69
2008,Villanova,12,16,64,75
2008,Vanderbilt,4,64,64,62
2008,Siena,13,32,64,83
2008,USC,6,64,64,67
2008,Kansas St.,11,32,64,80
2008,Wisconsin,3,16,64,71
2008,Cal St. Fullerton,14,64,64,56
2008,Gonzaga,7,64,64,76
2008,Davidson,10,8,64,82
2008,Georgetown,2,32,64,66
2008,UMBC,15,64,64,47
2008,Memphis,1,2,64,87
2008,UT Arlington,16,64,64,63
2008,Mississippi St.,8,32,64,76
2008,Oregon,9,64,64,69
2008,Michigan St.,5,16,64,72
2008,Temple,12,64,64,61
2008,Pittsburgh,4,32,64,82
2008,Oral Roberts,13,64,64,63
2008,Marquette,6,32,64,74
2008,Kentucky,11,64,64,66
2008,Stanford,3,16,64,77
2008,Cornell,14,64,64,53
2008,Miami FL,7,32,64,78
2008,Saint Mary's,10,64,64,64
2008,Texas,2,8,64,74
2008,Austin Peay,15,64,64,54
2008,UCLA,1,4,64,70
2008,Mississippi Valley St.,16,64,64,29
2008,BYU,8,64,64,62
2008,Texas A&M,9,32,64,67
2008,Drake,5,64,64,99
2008,Western Kentucky,12,16,64,101
2008,Connecticut,4,64,64,69
2008,San Diego,13,32,64,70
2008,Purdue,6,32,64,90
2008,Baylor,11,64,64,79
2008,Xavier,3,8,64,73
2008,Georgia,14,64,64,61
2008,West Virginia,7,16,64,75
2008,Arizona,10,64,64,65
2008,Duke,2,32,64,71
2008,Belmont,15,64,64,70
2008,North Carolina,1,4,32,108
2008,Arkansas,9,32,32,77
2008,Notre Dame,5,32,32,41
2008,Washington St.,4,16,32,61
2008,Oklahoma,6,32,32,48
2008,Louisville,3,8,32,78
2008,Butler,7,32,32,71
2008,Tennessee,2,16,32,76
2008,Kansas,1,1,32,75
2008,UNLV,8,32,32,56
2008,Villanova,12,16,32,84
2008,Siena,13,32,32,72
2008,Kansas St.,11,32,32,55
2008,Wisconsin,3,16,32,72
2008,Davidson,10,8,32,74
2008,Georgetown,2,32,32,70
2008,Memphis,1,2,32,77
2008,Mississippi St.,8,32,32,74
2008,Michigan St.,5,16,32,65
2008,Pittsburgh,4,32,32,54
2008,Marquette,6,32,32,81
2008,Stanford,3,16,32,82
2008,Miami FL,7,32,32,72
2008,Texas,2,8,32,75
2008,UCLA,1,4,32,51
2008,Texas A&M,9,32,32,49
2008,Western Kentucky,12,16,32,72
2008,San Diego,13,32,32,63
2008,Purdue,6,32,32,78
2008,Xavier,3,8,32,85
2008,West Virginia,7,16,32,73
2008,Duke,2,32,32,67
2008,North Carolina,1,4,16,68
2008,Washington St.,4,16,16,47
2008,Louisville,3,8,16,79
2008,Tennessee,2,16,16,60
2008,Kansas,1,1,16,72
2008,Villanova,12,16,16,57
2008,Wisconsin,3,16,16,56
2008,Davidson,10,8,16,73
2008,Memphis,1,2,16,92
2008,Michigan St.,5,16,16,74
2008,Stanford,3,16,16,62
2008,Texas,2,8,16,82
2008,UCLA,1,4,16,88
2008,Western Kentucky,12,16,16,78
2008,Xavier,3,8,16,79
2008,West Virginia,7,16,16,75
2008,North Carolina,1,4,8,83
2008,Louisville,3,8,8,73
2008,Kansas,1,1,8,59
2008,Davidson,10,8,8,57
2008,Memphis,1,2,8,85
2008,Texas,2,8,8,67
2008,UCLA,1,4,8,76
2008,Xavier,3,8,8,57
2008,North Carolina,1,4,4,66
2008,Kansas,1,1,4,84
2008,Memphis,1,2,4,78
2008,UCLA,1,4,4,63
2008,Kansas,1,1,2,75
2008,Memphis,1,2,2,68
